Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19730424.5.21,Summary,1973-04-24,10:12:00,3,Arkansas,-,-,0,0,0,10,0.1,Pulaski,-,-,-,-,-,-,-,-,-,-,-,<$50,,34.73,-92.02,-,-,1,,245,Unmodified
19730501.5.22,Summary,1973-05-01,14:30:00,3,Arkansas,-,-,2,0,4,150,3.8,Benton,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.18,-94.55,36.22,-94.5,1,,280,Unmodified
19730507.5.23,Summary,1973-05-07,01:25:00,3,Arkansas,-,-,2,0,0,150,2.7,Searcy,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.9,-92.63,35.9,-92.58,1,,302,Unmodified
19730507.5.24,Summary,1973-05-07,14:05:00,3,Arkansas,-,-,2,0,0,100,2,Baxter,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.47,-92.38,-,-,1,,307,Unmodified
19730507.5.25,Summary,1973-05-07,18:45:00,3,Arkansas,-,-,2,0,2,100,4.7,Poinsett,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.6,-90.5,35.67,-90.53,1,,320,Unmodified
19730526.5.26,Summary,1973-05-26,17:00:00,3,Arkansas,-,-,2,0,0,100,5.6,Benton,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.42,-93.83,36.43,-93.73,1,,433,Unmodified
19730526.5.27,Summary,1973-05-26,17:55:00,3,Arkansas,-,-,0,0,0,100,0.5,Benton,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,36.2,-94,-,-,1,,434,Unmodified
19730526.5.28,Summary,1973-05-26,21:25:00,3,Arkansas,-,-,2,0,2,200,2,Carroll,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.33,-93.57,-,-,1,,441,Unmodified
19730526.5.29,Summary,1973-05-26,21:30:00,3,Arkansas,-,-,1,0,23,100,1,Crawford,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.43,-94.32,-,-,1,,442,Unmodified
19730526.5.30,Summary,1973-05-26,22:30:00,3,Arkansas,-,-,4,3,289,300,54.8,Woodruff,Jackson,Poinsett,Craighead,-,-,-,-,-,-,-,-,$5K-$50K,,35.27,-91.37,35.83,-90.68,1,,444,Unmodified
19730602.5.31,Summary,1973-06-02,17:45:00,3,Arkansas,-,-,1,0,0,33,0.2,Izard,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36,-91.8,-,-,1,,535,Unmodified
19730814.5.32,Summary,1973-08-14,01:30:00,3,Arkansas,-,-,2,0,0,50,0.3,St. Francis,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.95,-90.47,-,-,1,,850,Unmodified
19730901.5.33,Summary,1973-09-01,16:10:00,3,Arkansas,-,-,0,0,0,50,0.5,Garland,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.48,-93.33,-,-,1,,879,Unmodified
19730906.5.34,Summary,1973-09-06,15:00:00,3,Arkansas,-,-,0,0,0,50,0.8,Columbia,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.18,-93.17,-,-,1,,894,Unmodified
19731012.5.35,Summary,1973-10-12,21:30:00,3,Arkansas,-,-,1,0,0,50,0.3,Yell,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.17,-93.25,-,-,1,,967,Unmodified
19731120.5.36,Summary,1973-11-20,06:00:00,3,Arkansas,-,-,2,0,6,100,5.7,Sevier,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.03,-94.35,34.05,-94.25,1,,989,Unmodified
19731121.5.49,Summary,1973-11-21,18:30:00,3,Arkansas,-,-,1,0,6,50,0.5,Johnson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.47,-93.27,-,-,1,,1000,Unmodified
19731123.5.37,Summary,1973-11-23,11:45:00,3,Arkansas,-,-,1,0,0,10,0.1,Calhoun,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.8,-93.6,-,-,1,,1001,Unmodified
19731123.5.38,Summary,1973-11-23,13:15:00,3,Arkansas,-,-,1,0,4,10,0.1,Saline,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.67,-92.58,-,-,1,,1003,Unmodified
19731123.5.39,Summary,1973-11-23,17:15:00,3,Arkansas,-,-,2,0,1,200,22,Monroe,Lee,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.58,-91.28,34.8,-91.02,1,,1004,Unmodified
19731124.5.40,Summary,1973-11-24,18:15:00,3,Arkansas,-,-,2,0,0,10,0.1,Little River,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.58,-94.07,-,-,1,,1013,Unmodified
19731124.5.41,Summary,1973-11-24,18:40:00,3,Arkansas,-,-,2,0,0,133,5.4,Garland,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.6,-93.2,34.63,-93.12,1,,1015,Unmodified
19731124.5.43,Summary,1973-11-24,19:00:00,3,Arkansas,-,-,1,0,0,50,0.3,Clark,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.12,-93.08,-,-,1,,1016,Unmodified
19731124.5.44,Summary,1973-11-24,19:10:00,3,Arkansas,-,-,1,0,0,40,1,Pulaski,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.83,-92.52,-,-,1,,1017,Unmodified
19731124.5.42,Summary,1973-11-24,19:30:00,3,Arkansas,-,-,2,0,0,10,0.1,Faulkner,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.95,-92.45,-,-,1,,1018,Unmodified
19731124.5.45,Summary,1973-11-24,20:00:00,3,Arkansas,-,-,2,1,8,100,1.3,White,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.33,-92.08,-,-,1,,1019,Unmodified
19731124.5.46,Summary,1973-11-24,20:30:00,3,Arkansas,-,-,1,0,4,10,0.1,White,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.45,-91.53,-,-,1,,1020,Unmodified
19731124.5.47,Summary,1973-11-24,20:55:00,3,Arkansas,-,-,2,0,1,200,1,Jackson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.82,-91.12,-,-,1,,1022,Unmodified
19731124.5.48,Summary,1973-11-24,21:35:00,3,Arkansas,-,-,2,0,0,200,1.8,Jackson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.63,-91.13,-,-,1,,1023,Unmodified
19731203.5.50,Summary,1973-12-03,19:45:00,3,Arkansas,-,-,1,0,1,50,0.2,Columbia,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.33,-93.3,-,-,1,,1056,Unmodified
19740128.5.1,Summary,1974-01-28,01:30:00,3,Arkansas,-,-,1,0,2,100,13.3,Drew,Desha,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.55,-91.57,33.63,-91.37,1,,12,Unmodified
19740401.5.2,Summary,1974-04-01,15:36:00,3,Arkansas,-,-,1,0,0,100,0.3,Jackson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.63,-91.07,-,-,1,,85,Unmodified
19740421.5.3,Summary,1974-04-21,15:48:00,3,Arkansas,-,-,1,0,0,100,4.7,Lonoke,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.73,-91.77,34.73,-91.68,1,,328,Unmodified
19740504.5.4,Summary,1974-05-04,18:45:00,3,Arkansas,-,-,2,0,0,300,0.3,Miller,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.33,-93.77,-,-,1,,359,Unmodified
19740509.5.5,Summary,1974-05-09,16:18:00,3,Arkansas,-,-,1,0,0,100,0.3,Benton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.37,-94.23,-,-,1,,367,Unmodified
19740514.5.6,Summary,1974-05-14,12:30:00,3,Arkansas,-,-,1,0,0,100,62,Searcy,Stone,Izard,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.8,-92.87,36.12,-91.87,1,,416,Unmodified
19740606.5.7,Summary,1974-06-06,16:10:00,3,Arkansas,-,-,3,4,112,150,3.8,St. Francis,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,34.98,-90.78,35.02,-90.73,1,,521,Unmodified
19740606.5.8,Summary,1974-06-06,22:00:00,3,Arkansas,-,-,3,0,0,300,11.7,Johnson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.67,-93.53,35.72,-93.33,1,,526,Unmodified
19740606.5.9,Summary,1974-06-06,23:45:00,3,Arkansas,-,-,1,0,0,100,3.8,Izard,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.98,-92.25,36,-92.18,1,,527,Unmodified
19740928.5.10,Summary,1974-09-28,17:15:00,3,Arkansas,-,-,1,0,0,33,10.3,Greene,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.05,-90.4,36.17,-90.28,1,,877,Unmodified
19741031.5.11,Summary,1974-10-31,12:18:00,3,Arkansas,-,-,1,0,0,33,1.6,Lafayette,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.08,-93.68,-,-,1,,922,Unmodified
19750110.5.1,Summary,1975-01-10,00:55:00,3,Arkansas,-,-,1,0,5,100,0.5,Washington,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.18,-94.13,-,-,1,,6,Unmodified
19750110.5.2,Summary,1975-01-10,06:10:00,3,Arkansas,-,-,1,0,0,50,0.5,Arkansas,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.38,-91.55,-,-,1,,13,Unmodified
19750222.5.3,Summary,1975-02-22,13:40:00,3,Arkansas,-,-,2,0,4,80,26.2,Yell,Pope,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.08,-93.25,35.38,-92.97,1,,81,Unmodified
19750222.5.4,Summary,1975-02-22,15:02:00,3,Arkansas,-,-,2,0,0,30,13.4,Faulkner,Cleburne,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.27,-92.27,35.42,-92.12,1,,82,Unmodified
19750222.5.5,Summary,1975-02-22,16:10:00,3,Arkansas,-,-,3,1,22,80,14.4,Pulaski,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,34.67,-92.38,34.83,-92.23,1,,83,Unmodified
19750222.5.6,Summary,1975-02-22,16:45:00,3,Arkansas,-,-,1,0,0,30,0.5,Prairie,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.77,-91.6,-,-,1,,84,Unmodified
19750222.5.7,Summary,1975-02-22,18:10:00,3,Arkansas,-,-,1,0,1,50,2,Bradley,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.55,-92.25,-,-,1,,85,Unmodified
19750222.5.8,Summary,1975-02-22,18:30:00,3,Arkansas,-,-,1,0,0,60,30.1,Monroe,Lee,St. Francis,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.62,-91.37,34.92,-90.98,1,,86,Unmodified
19750328.5.9,Summary,1975-03-28,17:58:00,3,Arkansas,-,-,1,0,0,150,0.3,Union,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.15,-92.55,-,-,1,,177,Unmodified
19750328.5.10,Summary,1975-03-28,19:52:00,3,Arkansas,-,-,4,7,51,250,5.4,Bradley,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,33.55,-92.12,33.62,-92.07,1,,178,Unmodified
19750418.5.11,Summary,1975-04-18,13:30:00,3,Arkansas,-,-,1,0,0,10,0.3,Benton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.35,-94.22,-,-,1,,211,Unmodified
19750418.5.12,Summary,1975-04-18,17:15:00,3,Arkansas,-,-,1,0,0,300,1,Conway,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,35.1,-92.87,-,-,1,,215,Unmodified
19750425.5.13,Summary,1975-04-25,00:45:00,3,Arkansas,-,-,2,0,0,40,0.1,Crittenden,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.33,-90.25,-,-,1,,241,Unmodified
19750430.5.14,Summary,1975-04-30,16:53:00,3,Arkansas,-,-,2,0,0,20,0.5,Lawrence,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.98,-91.02,-,-,1,,287,Unmodified
19750430.5.15,Summary,1975-04-30,17:04:00,3,Arkansas,-,-,2,0,0,20,0.5,Pulaski,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.87,-92.48,-,-,1,,288,Unmodified
19750430.5.16,Summary,1975-04-30,19:00:00,3,Arkansas,-,-,2,0,0,30,1,Mississippi,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.9,-89.97,-,-,1,,289,Unmodified
19750520.5.17,Summary,1975-05-20,16:00:00,3,Arkansas,-,-,1,0,0,800,6.1,Howard,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.27,-94.05,34.33,-93.98,1,,405,Unmodified
19750616.5.18,Summary,1975-06-16,14:30:00,3,Arkansas,-,-,1,0,0,20,8.5,White,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.25,-91.67,35.37,-91.62,1,,560,Unmodified
19750707.5.19,Summary,1975-07-07,16:07:00,3,Arkansas,-,-,1,0,0,20,0.3,Hot Spring,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.33,-92.75,-,-,1,,690,Unmodified
19750707.5.20,Summary,1975-07-07,16:25:00,3,Arkansas,-,-,1,0,2,50,2,Little River,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.67,-94.28,-,-,1,,691,Unmodified
19751205.5.21,Summary,1975-12-05,22:55:00,3,Arkansas,-,-,1,0,1,20,0.5,Polk,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.57,-94.08,-,-,1,,903,Unmodified
19760217.5.1,Summary,1976-02-17,15:12:00,3,Arkansas,-,-,1,0,0,20,0.1,Pulaski,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.73,-92.28,-,-,1,,20,Unmodified
19760217.5.2,Summary,1976-02-17,16:30:00,3,Arkansas,-,-,1,0,0,100,0.3,Monroe,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.92,-91.22,-,-,1,,22,Unmodified
19760217.5.3,Summary,1976-02-17,20:00:00,3,Arkansas,-,-,2,3,46,200,29.5,Ashley,Chicot,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.03,-91.52,33.4,-91.27,1,,23,Unmodified
19760217.5.4,Summary,1976-02-17,20:20:00,3,Arkansas,-,-,1,0,0,60,10.5,Chicot,-,-,-,-,-,-,-,-,-,-,-,-,,33.27,-91.25,33.38,-91.13,1,,24,Unmodified
19760220.5.5,Summary,1976-02-20,23:55:00,3,Arkansas,-,-,1,0,0,100,0.5,Conway,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.3,-92.62,-,-,1,,42,Unmodified
19760320.22.7,Summary,1976-03-20,18:15:00,3,Louisiana,Arkansas,-,3,0,32,50,4.6,West Carroll,Chicot,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,32.98,-91.32,33,-91.3,2,,128,Unmodified
19760320.22.7,State,1976-03-20,18:15:00,3,Louisiana,,,3,0,32,50,2.3,West Carroll,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,32.98,-91.32,33.02,-91.28,2,,128,Unmodified
19760320.22.7,State,1976-03-20,18:25:00,3,Arkansas,,,3,0,0,27,2.3,Chicot,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,33,-91.3,33.02,-91.28,2,,128,Unmodified
19760326.5.7,Summary,1976-03-26,15:45:00,3,Arkansas,-,-,2,0,0,77,2,Washington,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.87,-94.42,-,-,1,,177,Unmodified
19760326.5.8,Summary,1976-03-26,17:40:00,3,Arkansas,-,-,3,0,4,100,16.1,Yell,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,35.05,-93.42,35.13,-93.15,1,,182,Unmodified
19760326.5.9,Summary,1976-03-26,17:45:00,3,Arkansas,-,-,1,0,0,50,2,Pope,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.23,-92.92,-,-,1,,183,Unmodified
19760326.5.10,Summary,1976-03-26,18:50:00,3,Arkansas,-,-,1,0,0,77,9.4,Van Buren,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.58,-92.47,35.67,-92.33,1,,184,Unmodified
19760326.5.11,Summary,1976-03-26,18:50:00,3,Arkansas,-,-,3,0,2,70,9.6,Woodruff,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.05,-91.37,35.15,-91.25,1,,185,Unmodified
19760329.5.12,Summary,1976-03-29,14:00:00,3,Arkansas,-,-,1,0,0,50,7.9,Hot Spring,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.28,-93.18,34.32,-93.05,1,,197,Unmodified
19760329.5.13,Summary,1976-03-29,15:07:00,3,Arkansas,-,-,3,5,64,100,17.2,Pulaski,Lonoke,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.87,-92.17,35,-91.92,1,,200,Unmodified
19760329.5.14,Summary,1976-03-29,15:25:00,3,Arkansas,-,-,3,1,6,50,16.5,Cleburne,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.55,-92.13,35.65,-91.87,1,,201,Unmodified
19760329.5.15,Summary,1976-03-29,16:49:00,3,Arkansas,-,-,1,0,0,100,1,Lawrence,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.25,-91.25,-,-,1,,202,Unmodified
19760329.5.16,Summary,1976-03-29,17:00:00,3,Arkansas,-,-,2,0,0,200,20.1,Lawrence,Craighead,Greene,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.87,-91.07,35.97,-90.73,1,,203,Unmodified
19760411.5.17,Summary,1976-04-11,16:55:00,3,Arkansas,-,-,1,0,0,30,2,Pulaski,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.67,-92.23,-,-,1,,242,Unmodified
19760420.5.18,Summary,1976-04-20,06:05:00,3,Arkansas,-,-,0,0,0,20,0.5,Hempstead,-,-,-,-,-,-,-,-,-,-,-,-,,33.77,-93.48,-,-,1,,307,Unmodified
19760420.5.19,Summary,1976-04-20,14:14:00,3,Arkansas,-,-,0,0,0,10,0.3,Washington,-,-,-,-,-,-,-,-,-,-,-,-,,35.98,-94.32,-,-,1,,309,Unmodified
19760420.5.20,Summary,1976-04-20,14:50:00,3,Arkansas,-,-,0,0,0,30,1,Washington,-,-,-,-,-,-,-,-,-,-,-,-,,36.18,-94.13,-,-,1,,310,Unmodified
19760424.5.21,Summary,1976-04-24,15:50:00,3,Arkansas,-,-,2,0,0,30,2,Cleburne,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.43,-92.13,-,-,1,,325,Unmodified
19760424.5.22,Summary,1976-04-24,17:45:00,3,Arkansas,-,-,1,0,0,30,1,Phillips,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.38,-90.83,-,-,1,,328,Unmodified
19760424.5.23,Summary,1976-04-24,17:50:00,3,Arkansas,-,-,0,0,0,20,0.5,White,-,-,-,-,-,-,-,-,-,-,-,-,,35.25,-91.75,-,-,1,,329,Unmodified
19760512.5.24,Summary,1976-05-12,15:38:00,3,Arkansas,-,-,1,0,0,20,0.3,Garland,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.68,-93.1,-,-,1,,367,Unmodified
19760526.5.25,Summary,1976-05-26,17:29:00,3,Arkansas,-,-,1,0,0,30,1,Miller,-,-,-,-,-,-,-,-,-,-,-,-,,33.45,-93.78,-,-,1,,442,Unmodified
19760615.5.26,Summary,1976-06-15,18:05:00,3,Arkansas,-,-,1,0,0,27,9.9,Stone,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.87,-92.28,35.92,-92.12,1,,607,Unmodified
19760702.5.27,Summary,1976-07-02,20:15:00,3,Arkansas,-,-,0,0,0,10,0.3,Carroll,-,-,-,-,-,-,-,-,-,-,-,-,,36.3,-93.4,-,-,1,,670,Unmodified
19760814.5.28,Summary,1976-08-14,16:47:00,3,Arkansas,-,-,1,0,2,17,0.1,Marion,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.52,-92.77,-,-,1,,767,Unmodified
19770223.5.1,Summary,1977-02-23,04:25:00,3,Arkansas,-,-,1,0,1,150,2,Logan,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.12,-93.93,-,-,1,,7,Unmodified
19770311.5.2,Summary,1977-03-11,13:09:00,3,Arkansas,-,-,0,0,0,27,2,Garland,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.5,-93.25,-,-,1,,51,Unmodified
19770311.5.3,Summary,1977-03-11,14:30:00,3,Arkansas,-,-,0,0,0,20,0.5,Conway,-,-,-,-,-,-,-,-,-,-,-,-,,35.15,-92.57,-,-,1,,53,Unmodified
19770311.5.4,Summary,1977-03-11,16:30:00,3,Arkansas,-,-,0,0,0,20,0.5,Prairie,-,-,-,-,-,-,-,-,-,-,-,-,,34.72,-91.5,-,-,1,,55,Unmodified
19770328.5.5,Summary,1977-03-28,02:30:00,3,Arkansas,-,-,1,0,1,100,1.3,Chicot,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.12,-91.25,-,-,1,,68,Unmodified
19770422.5.6,Summary,1977-04-22,16:20:00,3,Arkansas,-,-,0,0,0,20,0.1,Lonoke,-,-,-,-,-,-,-,-,-,-,-,-,,34.78,-91.83,-,-,1,,173,Unmodified
19770501.5.7,Summary,1977-05-01,14:55:00,3,Arkansas,-,-,1,0,0,30,1.5,Columbia,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.1,-93.47,-,-,1,,175,Unmodified
19770508.5.8,Summary,1977-05-08,12:15:00,3,Arkansas,-,-,0,0,0,20,0.2,Phillips,-,-,-,-,-,-,-,-,-,-,-,-,,34.3,-90.83,-,-,1,,239,Unmodified
19770508.5.9,Summary,1977-05-08,14:30:00,3,Arkansas,-,-,0,0,0,17,0.1,Monroe,-,-,-,-,-,-,-,-,-,-,-,-,,34.88,-91.18,-,-,1,,240,Unmodified
19770530.5.10,Summary,1977-05-30,18:50:00,3,Arkansas,-,-,0,0,0,17,0.1,Jackson,-,-,-,-,-,-,-,-,-,-,-,-,,35.75,-91.2,-,-,1,,398,Unmodified
19770606.5.11,Summary,1977-06-06,16:15:00,3,Arkansas,-,-,1,0,2,100,1,Phillips,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.52,-90.9,-,-,1,,422,Unmodified
19770612.5.12,Summary,1977-06-12,18:00:00,3,Arkansas,-,-,0,0,0,17,0.1,Benton,-,-,-,-,-,-,-,-,-,-,-,-,,36.45,-94.12,-,-,1,,439,Unmodified
19770725.5.13,Summary,1977-07-25,21:30:00,3,Arkansas,-,-,0,0,0,20,0.1,Monroe,-,-,-,-,-,-,-,-,-,-,-,-,,34.8,-91.13,-,-,1,,613,Unmodified
19770913.5.14,Summary,1977-09-13,17:45:00,3,Arkansas,-,-,1,0,0,50,0.1,Perry,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35,-92.63,-,-,1,,749,Unmodified
19770914.5.15,Summary,1977-09-14,12:59:00,3,Arkansas,-,-,0,0,0,27,0.1,St. Francis,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,35,-90.78,-,-,1,,752,Unmodified
19770914.5.16,Summary,1977-09-14,16:30:00,3,Arkansas,-,-,0,0,0,27,0.1,Craighead,-,-,-,-,-,-,-,-,-,-,-,-,,35.87,-90.95,-,-,1,,753,Unmodified
19770914.5.17,Summary,1977-09-14,16:47:00,3,Arkansas,-,-,2,1,3,50,2,Lawrence,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36,-90.88,-,-,1,,754,Unmodified
19771101.5.18,Summary,1977-11-01,14:30:00,3,Arkansas,-,-,0,0,0,27,0.2,Columbia,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,33.28,-93.18,-,-,1,,808,Unmodified
19771115.5.19,Summary,1977-11-15,21:30:00,3,Arkansas,-,-,2,0,0,30,0.5,Polk,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.58,-94.42,-,-,1,,819,Unmodified
19771216.5.20,Summary,1977-12-16,21:30:00,3,Arkansas,-,-,1,0,0,20,0.1,Cleburne,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.43,-92.2,-,-,1,,849,Unmodified
19780107.5.1,Summary,1978-01-07,15:32:00,3,Arkansas,-,-,3,1,9,150,39.6,Woodruff,St. Francis,Cross,-,-,-,-,-,-,-,-,-,$500K-$5M,,35.03,-91.22,35.27,-90.58,1,,2,Unmodified
19780107.5.2,Summary,1978-01-07,17:10:00,3,Arkansas,-,-,1,0,0,50,35,Grant,Jefferson,Pulaski,Lonoke,-,-,-,-,-,-,-,-,$500-$5000,,34.32,-92.5,34.6,-92.02,1,,3,Unmodified
19780107.5.3,Summary,1978-01-07,18:00:00,3,Arkansas,-,-,0,0,0,27,3,Jefferson,-,-,-,-,-,-,-,-,-,-,-,-,,34.45,-92.18,34.47,-92.15,1,,5,Unmodified
19780107.5.4,Summary,1978-01-07,19:05:00,3,Arkansas,-,-,1,0,0,100,2,Ouachita,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.6,-92.83,-,-,1,,7,Unmodified
19780107.5.5,Summary,1978-01-07,19:05:00,3,Arkansas,-,-,0,0,0,50,1,Ouachita,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.58,-92.85,-,-,1,,8,Unmodified
19780323.5.6,Summary,1978-03-23,22:45:00,3,Arkansas,-,-,1,0,1,77,5.1,Sevier,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.8,-94.05,33.87,-94.02,1,,46,Unmodified
19780417.5.7,Summary,1978-04-17,20:10:00,3,Arkansas,-,-,2,0,7,250,53.8,Pulaski,Lonoke,Prairie,Woodruff,Monroe,-,-,-,-,-,-,-,$50K-$500K,,34.72,-92.08,34.97,-91.2,1,,92,Unmodified
19780417.5.8,Summary,1978-04-17,21:25:00,3,Arkansas,-,-,0,0,0,27,0.1,Bradley,-,-,-,-,-,-,-,-,-,-,-,-,,33.62,-92.05,-,-,1,,93,Unmodified
19780417.5.9,Summary,1978-04-17,21:40:00,3,Arkansas,-,-,2,0,3,500,9.1,Ashley,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.28,-91.97,33.35,-91.83,1,,94,Unmodified
19780422.5.10,Summary,1978-04-22,20:57:00,3,Arkansas,-,-,1,0,0,50,7,Pulaski,Lonoke,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.72,-92.08,34.75,-91.97,1,,133,Unmodified
19780422.5.11,Summary,1978-04-22,21:50:00,3,Arkansas,-,-,0,0,0,27,0.1,Hot Spring,-,-,-,-,-,-,-,-,-,-,-,-,,34.22,-92.93,-,-,1,,134,Unmodified
19780501.5.12,Summary,1978-05-01,00:05:00,3,Arkansas,-,-,0,0,2,50,0.1,Crittenden,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.15,-90.18,-,-,1,,155,Unmodified
19780507.5.13,Summary,1978-05-07,18:10:00,3,Arkansas,-,-,2,0,0,50,12.3,Pope,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.27,-93.15,35.25,-92.93,1,,198,Unmodified
19780507.5.14,Summary,1978-05-07,18:20:00,3,Arkansas,-,-,0,0,0,27,0.1,Conway,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,35.28,-92.78,-,-,1,,199,Unmodified
